Feature,R2,MSE,MAE,Coefficient,Intercept
xAG,0.2569545450211328,256299428827866.75,10096377.513790695,8562531.64202374,11987233.421750663
Ast,0.21650969753767835,270250111440324.66,10278024.412491884,7600690.551044538,11987233.421750663
Gls,0.14821960710618765,293805482185028.6,10424192.738305658,8376879.650175941,11987233.421750663
xG,0.1456322120455149,294697955009886.06,10431406.733943187,8417036.352111442,11987233.421750663
Min,0.1117782740554717,306375228469110.5,10381100.073888067,6142779.604737274,11987233.421750663
Goal_Contributions_per_90,0.07828425639538528,317928354240769.75,10901512.778238978,5946411.4546792405,11987233.421750663
Assists_per_90,0.06756206443917978,321626770879676.94,10946770.754579477,4731870.543962091,11987233.421750663
Goals_per_90,0.04667769627313234,328830437353272.56,10989658.760267181,5420044.204545073,11987233.421750663
Age,0.02409085278448475,336621340381310.6,10991568.486880973,-3071862.7166926907,11987233.421750663
