Player,Squad,Comp,Position_Primary,Age_Group,Age,Min,MP,Starts,Gls,Ast,xG,xAG,90s,Goals_per_90,Assists_per_90,Goal_Contributions_per_90,xG_per_90,xAG_per_90,Shots_per_90,Shot_Accuracy,Pass_Completion_Rate,Tackles_per_90,Interceptions_per_90,Age_Squared,Age_x_Goals,Minutes_x_Goals_per_90,market_value_in_eur,Log_Market_Value,Value_per_Goal,League_de Bundesliga,League_eng Premier League,League_es La Liga,League_fr Ligue 1,League_it Serie A,Position_DF,Position_FW,Position_GK,Position_MF
Karim Adeyemi,Dortmund,de Bundesliga,FW,Young,22.0,1433,25,17,7,6,5.5,6.0,15.922222222222222,0.4393611827882,0.37659529953274284,0.8159564823209429,0.3452123579050143,0.37659529953274284,2.887230629751029,0.39121930015214085,0.7431236128774844,1.2553176651091429,0.4393611827882,484.0,154.0,629.6045749354906,40000000,17.50439003707821,5000000.0,True,False,False,False,False,False,True,False,False
Simon Adingra,Brighton,eng Premier League,FW,Young,22.0,1097,29,12,2,2,2.5,2.5,12.188888888888888,0.16394935786501505,0.16394935786501505,0.3278987157300301,0.2049366973312688,0.2049366973312688,2.705164404772748,0.24235080278703425,0.7591424308264182,1.885417615447673,0.6557974314600602,484.0,44.0,179.85244557792151,30000000,17.216707972959764,10000000.0,False,True,False,False,False,False,True,False,False
Amine Adli,Leverkusen,de Bundesliga,MF,Prime,24.0,766,20,6,2,0,2.7,0.7,8.511111111111111,0.2347111748598253,0.0,0.2347111748598253,0.31686008606076416,0.08214891120093884,2.3471117485982527,0.34982508745627183,0.7416460653870726,1.7603338114486895,0.0,576.0,48.0,179.78875994262617,22000000,16.906553056777135,7333333.333333333,True,False,False,False,False,False,False,False,True
Yacine Adli,Fiorentina,it Serie A,MF,Prime,24.0,1219,25,14,4,6,1.0,2.4,13.544444444444444,0.29510615624231495,0.44265923436347243,0.7377653906057874,0.07377653906057874,0.17706369374538897,1.0328715468481022,0.35688793718772305,0.8067325086234987,2.3608492499385196,0.44265923436347243,576.0,96.0,359.73440445938195,15000000,16.52356082573315,3000000.0,False,False,False,False,True,False,False,False,True
Adrián,Betis,es La Liga,GK,Veteran,37.0,1710,19,19,0,0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7657388410526486,0.0,0.0,1369.0,0.0,0.0,500000,13.122365377402328,500000.0,False,False,True,False,False,False,False,True,False
Adryelson,Lyon,fr Ligue 1,DF,Prime,26.0,1,1,0,0,0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33222591362126247,0.0,2.8347121037593386,676.0,0.0,0.0,4000000,15.201805169084134,4000000.0,False,False,False,True,False,True,False,False,False
Vasilije Adžić,Juventus,it Serie A,MF,Young,18.0,42,6,0,0,0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,2.097902097902098,0.9900990099009901,0.7496251874062968,4.195804195804196,0.0,324.0,0.0,0.0,3000000,14.914123179965662,3000000.0,False,False,False,False,True,False,False,False,True
Michel Aebischer,Bologna,it Serie A,MF,Prime,27.0,724,14,9,0,0,0.4,0.4,8.044444444444444,0.0,0.0,0.0,0.04966202234791006,0.04966202234791006,1.2415505586977515,0.4995004995004995,0.873487506264767,2.2347910056559526,0.8690853910884261,729.0,0.0,0.0,10000000,16.118095750958314,10000000.0,False,False,False,False,True,False,False,False,True
Oladapo Afolayan,St. Pauli,de Bundesliga,FW,Prime,26.0,1639,32,17,3,1,3.1,3.8,18.211111111111112,0.16464418562107444,0.05488139520702481,0.21952558082809925,0.17013232514177692,0.20854930178669426,2.0854930178669426,0.342015259142331,0.6941281100193054,0.9329837185194217,0.4390511616561985,676.0,78.0,269.851820232941,4000000,15.201805169084134,1000000.0,True,False,False,False,False,False,True,False,False
Emmanuel Agbadou,Wolves,eng Premier League,DF,Prime,27.0,1410,16,16,1,0,0.8,0.2,15.666666666666666,0.0637890708058686,0.0,0.0637890708058686,0.05103125664469488,0.01275781416117372,0.4465234956410802,0.28530670470756064,0.8541373213054815,1.913672124176058,0.7654688496704232,729.0,27.0,89.94258983627472,17000000,16.648723960844016,8500000.0,False,True,False,False,False,True,False,False,False
