Player,Squad,Comp,Position_Primary,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Difference,Actual_Value_M,Predicted_Value_M,Difference_M
Krépin Diatta,Monaco,fr Ligue 1,DF,25.0,0,0,10000000,2636075.157397468,-7363924.842602532,10.0,2.636075157397468,-7.3639248426025326
Xaver Schlager,RB Leipzig,de Bundesliga,MF,26.0,0,0,18000000,10677975.906415451,-7322024.093584549,18.0,10.677975906415451,-7.322024093584549
Willy Boly,Nott'ham Forest,eng Premier League,DF,33.0,0,0,2000000,-5281764.550747845,-7281764.550747845,2.0,-5.2817645507478455,-7.2817645507478455
Gianluca Scamacca,Atalanta,it Serie A,FW,25.0,0,0,24000000,16813957.849465404,-7186042.150534596,24.0,16.813957849465403,-7.186042150534596
Ismaël Bennacer,Milan,it Serie A,MF,26.0,0,0,15000000,7831422.756398599,-7168577.243601401,15.0,7.831422756398599,-7.168577243601401
Ismaël Bennacer,Marseille,fr Ligue 1,MF,26.0,0,2,15000000,7831422.756398599,-7168577.243601401,15.0,7.831422756398599,-7.168577243601401
Ben Mee,Brentford,eng Premier League,DF,34.0,0,0,900000,-6239006.883458499,-7139006.883458499,0.9,-6.239006883458499,-7.1390068834584985
Elye Wahi,Marseille,fr Ligue 1,FW,21.0,3,1,25000000,18031269.439353205,-6968730.560646795,25.0,18.031269439353206,-6.968730560646795
Elye Wahi,Eint Frankfurt,de Bundesliga,FW,21.0,0,0,25000000,18031269.439353205,-6968730.560646795,25.0,18.031269439353206,-6.968730560646795
Elliot Anderson,Nott'ham Forest,eng Premier League,MF,21.0,2,6,30000000,23048448.36512866,-6951551.634871341,30.0,23.04844836512866,-6.9515516348713415
Jorginho,Arsenal,eng Premier League,MF,32.0,0,0,8000000,1542427.7145338133,-6457572.285466187,8.0,1.5424277145338132,-6.457572285466187
Kamil Grabara,Wolfsburg,de Bundesliga,GK,25.0,0,0,14000000,7636065.315904897,-6363934.684095103,14.0,7.636065315904896,-6.363934684095104
João Félix,Chelsea,eng Premier League,FW,24.0,1,1,25000000,18656474.983888745,-6343525.016111255,25.0,18.656474983888746,-6.343525016111255
João Félix,Milan,it Serie A,MF,24.0,2,0,25000000,18656474.983888745,-6343525.016111255,25.0,18.656474983888746,-6.343525016111255
Vladimír Coufal,West Ham,eng Premier League,DF,31.0,0,0,7000000,890036.3930868898,-6109963.60691311,7.0,0.8900363930868898,-6.1099636069131105
Stefan Ortega,Manchester City,eng Premier League,GK,31.0,0,0,9000000,2963611.286918929,-6036388.713081071,9.0,2.963611286918929,-6.036388713081071
Jeanuël Belocian,Leverkusen,de Bundesliga,DF,19.0,0,0,15000000,9119752.380443985,-5880247.619556015,15.0,9.119752380443984,-5.880247619556015
Tyler Adams,Bournemouth,eng Premier League,MF,25.0,0,3,18000000,12357566.904408,-5642433.095592,18.0,12.357566904408001,-5.642433095592
Piotr Zieliński,Inter,it Serie A,MF,30.0,2,2,14000000,8419263.60000835,-5580736.39999165,14.0,8.41926360000835,-5.58073639999165
Enes Ünal,Bournemouth,eng Premier League,FW,27.0,2,1,13000000,7709531.17886946,-5290468.82113054,13.0,7.70953117886946,-5.29046882113054
Albert Grønbaek,Southampton,eng Premier League,FW,23.0,0,0,12000000,6750246.482512279,-5249753.517487721,12.0,6.75024648251228,-5.24975351748772
Albert Grønbaek,Rennes,fr Ligue 1,MF,23.0,2,1,12000000,6750246.482512279,-5249753.517487721,12.0,6.75024648251228,-5.24975351748772
Lewis Hall,Newcastle Utd,eng Premier League,DF,19.0,0,4,30000000,24753345.3160545,-5246654.683945499,30.0,24.7533453160545,-5.2466546839455
Jasper Cillessen,Las Palmas,es La Liga,GK,35.0,0,0,900000,-4306486.455315214,-5206486.455315214,0.9,-4.306486455315214,-5.206486455315214
Robert Andrich,Leverkusen,de Bundesliga,MF,29.0,2,2,15000000,9882358.05629206,-5117641.943707939,15.0,9.88235805629206,-5.117641943707939
Lesley Ugochukwu,Southampton,eng Premier League,MF,20.0,1,1,20000000,14889304.390341824,-5110695.609658176,20.0,14.889304390341824,-5.110695609658176
Logan Costa,Villarreal,es La Liga,DF,23.0,2,1,15000000,9918502.263902407,-5081497.736097593,15.0,9.918502263902408,-5.081497736097593
Logan Costa,Toulouse,fr Ligue 1,DF,23.0,0,0,15000000,9918502.263902407,-5081497.736097593,15.0,9.918502263902408,-5.081497736097593
Nathan Collins,Brentford,eng Premier League,DF,23.0,2,3,28000000,23042588.03665655,-4957411.963343449,28.0,23.04258803665655,-4.957411963343449
