Player,Squad,Comp,Position_Primary,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Difference,Actual_Value_M,Predicted_Value_M,Difference_M
Luck Zogbé,Brest,fr Ligue 1,DF,19.0,0,0,3000000,8129860.704632439,5129860.704632439,3.0,8.129860704632438,5.1298607046324385
Fabian Rieder,Stuttgart,de Bundesliga,MF,22.0,1,3,7000000,12104479.598284792,5104479.598284792,7.0,12.104479598284792,5.104479598284792
Iván Villar,Celta Vigo,es La Liga,GK,27.0,0,0,900000,6003188.710451248,5103188.710451248,0.9,6.003188710451248,5.103188710451248
Danilho Doekhi,Union Berlin,de Bundesliga,DF,26.0,1,1,13000000,18006471.003345653,5006471.003345653,13.0,18.006471003345652,5.006471003345653
Szymon Żurkowski,Empoli,it Serie A,MF,26.0,0,0,2500000,7479215.695837697,4979215.695837697,2.5,7.479215695837697,4.979215695837697
Bence Dárdai,Wolfsburg,de Bundesliga,MF,18.0,1,1,9000000,13950981.513917197,4950981.513917197,9.0,13.950981513917197,4.950981513917196
Álex Muñoz,Las Palmas,es La Liga,DF,30.0,3,0,1200000,6075586.827313685,4875586.827313685,1.2,6.075586827313685,4.875586827313684
Josha Vagnoman,Stuttgart,de Bundesliga,DF,23.0,1,1,12000000,16818641.86295639,4818641.86295639,12.0,16.81864186295639,4.818641862956389
Florian Grillitsch,Valladolid,es La Liga,MF,28.0,0,0,3000000,7812632.758831868,4812632.758831868,3.0,7.812632758831868,4.812632758831868
Florian Grillitsch,Hoffenheim,de Bundesliga,MF,28.0,0,0,3000000,7812632.758831868,4812632.758831868,3.0,7.812632758831868,4.812632758831868
Ryan Sessegnon,Fulham,eng Premier League,FW,24.0,4,2,9000000,13796372.93465652,4796372.934656519,9.0,13.79637293465652,4.796372934656519
Joseph Aidoo,Celta Vigo,es La Liga,DF,28.0,0,0,1400000,6147398.731320513,4747398.731320513,1.4,6.147398731320513,4.747398731320513
Joseph Aidoo,Valladolid,es La Liga,DF,28.0,0,0,1400000,6147398.731320513,4747398.731320513,1.4,6.147398731320513,4.747398731320513
Jhoanner Chávez,Lens,fr Ligue 1,DF,22.0,1,0,4000000,8736388.530237747,4736388.530237747,4.0,8.736388530237747,4.736388530237748
Pablo Rosario,Nice,fr Ligue 1,MF,27.0,3,1,8000000,12719347.531992696,4719347.531992696,8.0,12.719347531992696,4.719347531992696
Jesús Vallejo,Real Madrid,es La Liga,DF,27.0,0,1,1000000,5718945.911255981,4718945.911255981,1.0,5.718945911255981,4.718945911255981
Marc Roca,Betis,es La Liga,MF,27.0,2,2,8000000,12628306.589686297,4628306.589686297,8.0,12.628306589686296,4.6283065896862965
Dimitri Foulquier,Valencia,es La Liga,DF,31.0,0,1,2000000,6626265.335660691,4626265.335660691,2.0,6.626265335660691,4.626265335660691
Daniel Oyegoke,Hellas Verona,it Serie A,DF,21.0,0,0,400000,4979312.267621282,4579312.267621282,0.4,4.979312267621282,4.579312267621281
Lamare Bogarde,Aston Villa,eng Premier League,DF,20.0,0,0,5000000,9561305.53351318,4561305.533513181,5.0,9.561305533513181,4.561305533513181
Junior Mwanga,Le Havre,fr Ligue 1,MF,21.0,1,2,6000000,10487353.401397578,4487353.401397578,6.0,10.487353401397579,4.487353401397578
Junior Mwanga,Strasbourg,fr Ligue 1,MF,21.0,0,0,6000000,10487353.401397578,4487353.401397578,6.0,10.487353401397579,4.487353401397578
Luca Kerber,Heidenheim,de Bundesliga,MF,22.0,2,0,1300000,5697679.296588795,4397679.296588795,1.3,5.697679296588795,4.397679296588795
Mostafa Mohamed,Nantes,fr Ligue 1,FW,26.0,5,0,6000000,10376012.384476235,4376012.384476235,6.0,10.376012384476235,4.376012384476235
Matthias Ginter,Freiburg,de Bundesliga,DF,30.0,2,1,8000000,12354812.9763019,4354812.976301899,8.0,12.354812976301899,4.354812976301899
Sergio Arribas,Betis,es La Liga,DF,21.0,0,0,50000,4286449.165766256,4236449.165766256,0.05,4.286449165766256,4.236449165766256
Eliesse Ben Seghir,Monaco,fr Ligue 1,MF,19.0,6,3,30000000,34155077.329291105,4155077.3292911053,30.0,34.1550773292911,4.155077329291105
Benedikt Pichler,Holstein Kiel,de Bundesliga,FW,27.0,1,2,2000000,6133223.896522305,4133223.896522305,2.0,6.133223896522305,4.133223896522305
Marco Brescianini,Atalanta,it Serie A,MF,24.0,4,2,8000000,12104887.533808172,4104887.5338081717,8.0,12.104887533808173,4.104887533808172
Robert Gumny,Augsburg,de Bundesliga,DF,26.0,0,0,2000000,6096820.52436803,4096820.52436803,2.0,6.09682052436803,4.09682052436803
Mateu Morey,Mallorca,es La Liga,DF,24.0,0,0,800000,4849097.791599309,4049097.791599309,0.8,4.849097791599309,4.049097791599309
Moïse Bombito,Nice,fr Ligue 1,DF,24.0,0,0,10000000,14026977.87647067,4026977.87647067,10.0,14.02697787647067,4.02697787647067
Eliot Matazo,Monaco,fr Ligue 1,MF,22.0,0,0,5000000,9023715.57293182,4023715.5729318205,5.0,9.02371557293182,4.02371557293182
Nicolás Valentini,Hellas Verona,it Serie A,DF,23.0,0,0,4500000,8477626.366264492,3977626.3662644923,4.5,8.477626366264492,3.9776263662644924
Andrea Belotti,Como,it Serie A,FW,30.0,2,0,2000000,5944852.649601647,3944852.6496016467,2.0,5.944852649601646,3.9448526496016467
Ramon Hendriks,Stuttgart,de Bundesliga,DF,23.0,0,1,5000000,8939725.659613097,3939725.659613097,5.0,8.939725659613098,3.939725659613097
Randy Nteka,Rayo Vallecano,es La Liga,FW,26.0,3,0,1500000,5438722.079971418,3938722.079971418,1.5,5.438722079971418,3.9387220799714178
Andrea Colpani,Fiorentina,it Serie A,FW,25.0,2,1,12000000,15870119.850861289,3870119.8508612886,12.0,15.870119850861288,3.8701198508612884
Natan,Betis,es La Liga,DF,23.0,1,1,9000000,12868784.754793543,3868784.7547935434,9.0,12.868784754793543,3.8687847547935434
Kevin Martins,Monza,it Serie A,MF,19.0,0,1,1500000,5325311.097372836,3825311.0973728364,1.5,5.325311097372836,3.8253110973728366
Adam Masina,Torino,it Serie A,DF,30.0,1,2,1500000,5322630.737340545,3822630.7373405453,1.5,5.322630737340545,3.8226307373405453
Nnamdi Collins,Eint Frankfurt,de Bundesliga,DF,20.0,1,1,10000000,13786466.834596772,3786466.8345967717,10.0,13.786466834596771,3.7864668345967716
