Model,R2,MSE,MAE
Polynomial,0.40763958408493295,204323484171755.28,8832424.211470623
Lasso,0.35292491887230026,223196269609766.66,9621736.993178092
Multivariate Linear,0.35292109818082884,223197587484784.0,9621976.758657258
Gradient Descent,0.34912290463595697,224507702269290.72,9606792.55567359
Ridge,0.3150364641574461,236265173049683.12,9619260.543219235
